Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,facebook,flag_img,instagram,linkedin,name,name_t,name_t_t,other_locations,screenshort,subject,twitter,uni_logo,university_name,url,wiki,world_rank,youtube
Semesters,Not reported,"over-5,000",UNC,"Ciudad Universitaria - Pabellón Argentina, 2º Córdoba  X5000 Cordoba Argentina",Haya de la Torre s/n Córdoba X5000 (351) 433 3049,Not available,Urban,Not reported,Public,Yes,Non-Profit,+54 (351) 433 4157,Yes,1613,Not reported,Not reported,,Yes,,Ut portet nomen meum coram gentibus Proclaim my name before the people,None,"Yes, based on entrance examinations",Yes,"over-45,000",Yes,+54 (351) 433 3049,"Argentina

",3,https://www.facebook.com/universidad.nacional.de.cordoba.oficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unc_cordoba/,https://www.linkedin.com/school/universidad-nacional-de-cordoba/,National University of Córdoba,National University of Córdoba,National University of Córdoba,,https://www.4icu.org//i/screenshots/60.jpg,"Department of Architecture, Urbanism and Design | Department of Agricultural Sciences | Department of Economics | Department of Exact, Physical and Natural Sciences | Department of Medical Sciences | Department of Chemical Sciences | Department of Law |  Department of Social Sciences | Department of Philosophy and Humanities | Department of Languages | Department of Mathematics, Astronomy, Physics and Computation | Department of Dentistry | Department of Psychology | Department of Arts | Department of Social Comunications",https://twitter.com/unc_cordoba,https://www.4icu.org//i/logos-seals/60.png,Universidad Nacional de Córdoba,https://www.4icu.org/reviews/60.htm,https://en.wikipedia.org/wiki/National_University_of_C%C3%B3rdoba,628,https://www.youtube.com/channel/UC5WYiROddGrj08ME22QgNCw
Semesters,Not reported,Not reported,UNER,Eva Perón 24 Concepción del Uruguay  E3260 Entre Rios Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (3442) 42 1542,Not reported,1973,Not reported,Not reported,,Yes,,,None,Not reported,Yes,"10,000-14,999",Yes,+54 (3442) 42 1530,"Argentina

",29,https://www.facebook.com/UNERoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unermedios/,https://www.linkedin.com/school/universidad-nacional-de-entre-r-os/,National University of Entre Ríos,National University of Entre Ríos,National University of Entre Ríos,"Concordia, Gualeguaychú, Oro Verde, Paraná and Villaguay",https://www.4icu.org//i/screenshots/61.jpg,Department of Bromatology | Department of Agricultural Sciences | Department of Administration Sciences | Department of Food Sciences | Department of Education Sciences | Department of Health Sciences | Department of Economics | Department of Engineering | Department of Social Work,https://twitter.com/uneroficial,https://www.4icu.org//i/logos-seals/61.png,Universidad Nacional de Entre Ríos,https://www.4icu.org/reviews/61.htm,https://en.wikipedia.org/wiki/National_University_of_Entre_R%C3%ADos,2753,https://www.youtube.com/channel/UCgt1g00BxRQu7lxf-7wh8-A
Semesters,Not reported,"1,000-1,499",UNSAM,Avenida 25 de Mayo y Francia San Martín  B1650 Buenos Aires Argentina,Martín de Irigoyen 3100 San Martín B1650 (11) 4006 1500,Not available,Urban,Not reported,Public,Yes,Non-Profit,+54,Yes,1992,Not reported,Not reported,,Yes,,La Potencia de Talento The Power of Talent,None,"None, open admission policy",Yes,"15,000-19,999",Yes,+54 (11) 4006 1500,"Argentina

",14,https://www.facebook.com/unsamoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unsamoficial/,https://www.linkedin.com/school/unsamoficial/,"National University of San Martín, Argentina","National University of San Martín, Argentina","National University of San Martín, Argentina",,https://www.4icu.org//i/screenshots/63.jpg,School of Science and Technology | School of Economics and Business | School of Humanities | School of Politics and Government | Institute of Social Studies | Mauricio Kagel Institute of Arts | Institute of Architecture and Urbanism | Biotechnology Research Institute | Institute of Environmental Engineering and Research | Institute of Industrial Quality | Institute of Cultural Heritage Research | Institute of Legal Sciences Studies | Jorge Sabato Institute of Technology | Institute of Rehabilitation and Movement Sciences | Nanosystems Institute | Dan Beninson Institute of Nuclear Technology | Institute of Transport | Institute of Astroparticles and Technology Detection | Interdisciplinary Health Unit | Colomb Institute,https://twitter.com/unsamoficial,https://www.4icu.org//i/logos-seals/63.png,"Universidad Nacional de San Martín, Argentina",https://www.4icu.org/reviews/63.htm,https://en.wikipedia.org/wiki/National_University_of_General_San_Mart%C3%ADn,1704,https://www.youtube.com/channel/UCt1DuTt6cEvUckJD_y3ZZbw
Continuous,Not reported,Not reported,UNGS,Juan M. Gutiérrez 1150 Los Polvorines  B1613 Buenos Aires Argentina,,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+54 (11) 4469 7750,Not reported,1992,Not reported,Not reported,,Yes,,Una universidad innovadora An innovative University,None,Not reported,Not reported,"8,000-8,999",Not reported,+54 (11) 4469 7500,"Argentina

",26,https://www.facebook.com/ungsoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/ungsoficial/,https://www.linkedin.com/school/universidad-nacional-de-general-sarmiento/,National University of General Sarmiento,National University of General Sarmiento,National University of General Sarmiento,Moreno and San Fernando,https://www.4icu.org//i/screenshots/64.jpg,Institute of Sciences | Institute of Economic and Social Development | Institute of Industry | Institute of the Conurbano | Institute of Human Development,https://twitter.com/ungsoficial,https://www.4icu.org//i/logos-seals/64.png,Universidad Nacional de General Sarmiento,https://www.4icu.org/reviews/64.htm,https://en.wikipedia.org/wiki/National_University_of_General_Sarmiento,2645,https://www.youtube.com/channel/UCNRjkEq-NsN3hk5E8tKgpAA
Semesters,Not reported,"over-5,000",UNLP,Calle 7 N 776 La Plata  B1900 Buenos Aires Argentina,,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+54 (221) 425 5224,Not reported,1905 Origins date back to 1897,Not reported,Not reported,,Yes,,Pro Scientia et Patria For Science and the Motherland,None,Not reported,Yes,"over-45,000",Yes,+54 (221) 423 6412,"Argentina

",2,https://www.facebook.com/unlp.edu/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unlpoficial/,https://www.linkedin.com/school/universidad-nacional-de-la-plata/,National University of La Plata,National University of La Plata,National University of La Plata,,https://www.4icu.org//i/screenshots/68.jpg,Department of Architecture and Urbanism | Department of Fine Arts | Department of Agrarian and Forest Sciences | Department of Astronomical and Geophysical Sciences | Department of Economics | Department of Exact Sciences | Department of Legal and Social Sciences | Department of Medical Sciences | Department of Natural Sciences and Museum | Department of Veterinary Sciences | Department of Humanities and Educational Sciences | Department of Computer Science | Department of Engineering | Department of Dentistry | Department of Journalism and Social Communication | Department of Social Work,https://twitter.com/unlp,https://www.4icu.org//i/logos-seals/68.png,Universidad Nacional de La Plata,https://www.4icu.org/reviews/68.htm,https://en.wikipedia.org/wiki/National_University_of_La_Plata,377,https://www.youtube.com/channel/UCYR4c89hmT9FLNyOw4fN7YQ
Semesters,Not reported,Not reported,UNLa,29 de Septiembre 3901 Remedios de Escalada  B1826 Buenos Aires Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (11) 6322 9200,Not reported,1995,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"4,000-4,999",Not reported,+54 (11) 6322 9200,"Argentina

",28,https://www.facebook.com/unlaoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unlaoficial/,https://www.linkedin.com/school/universidad-nacional-de-lan-s/,National University of Lanus,National University of Lanus,National University of Lanus,,https://www.4icu.org//i/screenshots/70.jpg,Department of Productive Development and Labor | Department of Humanities and Arts | Department of Planning and Public Policy | Department of Community Health,https://twitter.com/unlaoficial,https://www.4icu.org//i/logos-seals/70.png,Universidad Nacional de Lanús,https://www.4icu.org/reviews/70.htm,https://en.wikipedia.org/wiki/National_University_of_Lan%C3%BAs,2725,https://www.youtube.com/channel/UCN7OrAQW5Ak21aBvEbhkfYQ
Semesters,Not reported,Not reported,UNLZ,Camino de Cintura - Km. 2 - Llavallol Partido de Loma de Zamora Lomas de Zamora  B1836 Buenos Aires Argentina,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+54 (11) 4282 8043,Not reported,1972,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"40,000-44,999",Not reported,+54 (11) 4282 8046,"Argentina

",71,https://www.facebook.com/UNLZoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unlzoficial/,https://www.linkedin.com/school/universidad-nacional-de-lomas-de-zamora/,National University of Lomas de Zamora,National University of Lomas de Zamora,National University of Lomas de Zamora,Rufino Santa Fe,https://www.4icu.org//i/screenshots/71.jpg,Department of Agricultural Sciences | Department of Economics | Department of Social Sciences | Department of Law | Department of Engineering,https://twitter.com/UNLZoficial,https://www.4icu.org//i/logos-seals/71.png,Universidad Nacional de Lomas de Zamora,https://www.4icu.org/reviews/71.htm,https://en.wikipedia.org/wiki/National_University_of_Lomas_de_Zamora,5695,https://www.youtube.com/channel/UChlG2EZhGAYgBiQdI3Zo5fw
Quarters,Not reported,"3,500-3,999",UNMdP,Avenida Juan Bautista Alberdi 2695 Mar del Plata  B7600 Buenos Aires Argentina,Funes 3350 Mar del Plata B7600 (223) 475 2929,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+54 (223) 492 1707,Not reported,1975,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+54 (223) 492 1705,"Argentina

",9,https://www.facebook.com/unmdp/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unmdp_oficial/,https://www.linkedin.com/school/universidad-nacional-de-mar-del-plata/,National University of Mar del Plata,National University of Mar del Plata,National University of Mar del Plata,Balcarce,https://www.4icu.org//i/screenshots/73.jpg,"Department of Architecture, Urbanism and Design | Department of Agricultural Sciences | Department of Health Sciences and Social Service | Department of Economics and Social Sciences | Department of Exact and Natural Sciences | Department of Law | Department of Humanities | Department of Engineering | Department of Psychology",https://twitter.com/unmdp,https://www.4icu.org//i/logos-seals/73.png,Universidad Nacional de Mar del Plata,https://www.4icu.org/reviews/73.htm,https://en.wikipedia.org/wiki/National_University_of_Mar_del_Plata,1382,https://www.youtube.com/channel/UCPJt1Ugnfq-ZcoXsbWziafw
Semesters,Yes,"1,000-1,499",UNQ,Roque Sáenz Peña 352 Quilmes  B1876BXD Buenos Aires Argentina,Roque Sáenz Peña 352 Quilmes B1876 (11) 4365 7112,Not reported,Urban,Yes,Public,Yes,Non-Profit,+54 (11) 4365 7101,Yes,1989,Not reported,Not reported,,Yes,,La Univesidad Bimodal The Bimodal University,None,"None, open admission policy",Yes,"20,000-24,999",Yes,+54 (11) 4365 7100,"Argentina

",19,https://www.facebook.com/UNQoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unq_oficial/,https://www.linkedin.com/school/universidad-nacional-de-quilmes/,National University of Quilmes,National University of Quilmes,National University of Quilmes,,https://www.4icu.org//i/screenshots/75.jpg,Department of Science and Technology | Department of Social Sciences | Department of Economics and Management | School of Arts,https://twitter.com/UNQoficial,https://www.4icu.org//i/logos-seals/75.png,Universidad Nacional de Quilmes,https://www.4icu.org/reviews/75.htm,https://en.wikipedia.org/wiki/National_University_of_Quilmes,2070,https://www.youtube.com/channel/UCDGRQwIsI-kOCwdUn4UFjSQ
Semesters,Not reported,"over-5,000",UNR,Córdoba 1814 Rosario  S2000 Santa Fe Argentina,,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+54 (341) 480 2627,Not reported,1968,Not reported,Not reported,,Yes,,Confingere Hominem Cogitantem Educating thinking men,None,Not reported,Yes,"over-45,000",Yes,+54 (341) 480 2626,"Argentina

",5,https://www.facebook.com/UNRoficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unroficial/,https://www.linkedin.com/school/universidad-nacional-de-rosario/,National University of Rosario,National University of Rosario,National University of Rosario,Casilda and Zavalla,https://www.4icu.org//i/screenshots/76.jpg,"Department of Architecture, Planning and Design | Department of Political Science and International Relations | Department of Agricultural Sciences | Department of Biochemical and Pharmaceutical Sciences | Department of Economics and Statistics | Department of Exact Sciences, Engineering and Surveying | Department of Medical Sciences | Department of Veterinary Sciences | Department of Law | Department of Humanities and Arts | Department of Dentistry | Department of Psychology | Higher Polytechnic Institute",https://twitter.com/UNRoficial,https://www.4icu.org//i/logos-seals/76.png,Universidad Nacional de Rosario,https://www.4icu.org/reviews/76.htm,https://en.wikipedia.org/wiki/National_University_of_Rosario,1097,https://www.youtube.com/channel/UCWKACchVf4tox0rZLQNWL7w
Semesters,Not reported,Not reported,UNSJ,Avenida Ignacio de la Roza 391 - este San Juan  J5400 San Juan Argentina,,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+54 (264) 420 0289,Not reported,1973,Not reported,Not reported,,Yes,,"Education for the Future, Dinamic Education",None,Not reported,Not reported,"20,000-24,999",Not reported,+54 (264) 429 5000,"Argentina

",34,https://www.facebook.com/UNSJOficial/,https://www.4icu.org//i/flags/Argentina.png,https://www.instagram.com/unsjoficial/,https://www.linkedin.com/school/universidad-nacional-de-san-juan/,National University of San Juan,National University of San Juan,National University of San Juan,San José de Jáchal,https://www.4icu.org//i/screenshots/79.jpg,"Department of Architecture and Urbanism | Department of Exact, Physical and Natural Sciences | Department of Social Sciences | Department of Philosophy, Humanities and Arts | Department of Engineering",https://twitter.com/UNSJ_Oficial,https://www.4icu.org//i/logos-seals/79.png,Universidad Nacional de San Juan,https://www.4icu.org/reviews/79.htm,https://en.wikipedia.org/wiki/National_University_of_San_Juan,3295,https://www.youtube.com/channel/UCCm8HrzziAQqROk_ZMFgerQ
Semesters,Yes,200-299,AUA,40 Marshal Baghramyan Avenue Yerevan  0019 Yerevan Armenia,40 Marshal Baghramian Yerevan 0019 (60) 612 750 (60) 612 748,70-80%,Urban,Yes,Private,Not reported,Non-Profit,+374 (60) 612 512,Yes,1991,Yes,Not reported,,Yes,,More than an Education - a Commitment!,None,Not reported,Not reported,"1,000-1,999",Yes,+374 (10) 324 040,"Armenia

",2,https://www.facebook.com/AUArmenia/,https://www.4icu.org//i/flags/Armenia.png,https://www.instagram.com/aua_insta/,https://www.linkedin.com/school/american-university-of-armenia/,Հայաստանի Ամերիկյան Համալսարանի,Հայաստանի Ամերիկյան Համալսարանի,Հայաստանի Ամերիկյան Համալսարանի,,https://www.4icu.org//i/screenshots/80.jpg,Manoogian Simone College of Business and Economics | College of Humanities and Social Sciences | Zaven and Sonia Akian College of Sciences and Engineering | Gerald and Patricia Turpanjian School of Public Health,https://twitter.com/auatweets,https://www.4icu.org//i/logos-seals/80.png,American University of Armenia,https://www.4icu.org/reviews/80.htm,https://en.wikipedia.org/wiki/American_University_of_Armenia,3481,https://www.youtube.com/channel/UCsXa2Y-NI9POM76vR_UJdFw
Semesters,Not reported,400-499,RAU,123 Hovsep Emin Street Yerevan  0051 Yerevan Armenia,Str. 123 Hovsep Emin Yerevan 0051 (10) 261 193 (10) 260 419,50-60%,Not reported,Not reported,Public,Yes,For-Profit,+374 (10) 221 463,Not reported,1997,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"2,000-2,999",Yes,+374 (10) 261 193,"Armenia

",4,https://www.facebook.com/RAUOfficial/,https://www.4icu.org//i/flags/Armenia.png,https://www.instagram.com/rau.blog/,https://www.linkedin.com/school/russian---armenian-university/,Հայ-Ռուսական Համալսարան,Հայ-Ռուսական Համալսարան,Հայ-Ռուսական Համալսարան,,https://www.4icu.org//i/screenshots/82.jpg,"Institute of Mathematics and Computer Science | Institute of Engineering and Physics | Institute of Biomedicine and Pharmacy | Institute of Economics and Business | Institute of Law and Politics | Institute of Humanities | Institute of Media, Advertising and Film Production | Institute of Oriental Studies",https://twitter.com/RAU_uni,https://www.4icu.org//i/logos-seals/82.png,Russian-Armenian University,https://www.4icu.org/reviews/82.htm,https://en.wikipedia.org/wiki/Russian-Armenian_(Slavonic)_University,5961,https://www.youtube.com/channel/UC2qRc3Wt_9D58CURNb7PtgA
Semesters,Not reported,"1,000-1,499",NPUA,105 Teryan Street Yerevan  0009 Yerevan Armenia,"105, Teryan Street Yerevan 0009 (10) 520 325",Not available,Urban,Not reported,Public,Not reported,Non-Profit,+374 (10) 545 843,Yes,1933,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+374 (10) 567 968,"Armenia

",8,https://www.facebook.com/polytech.am/,https://www.4icu.org//i/flags/Armenia.png,https://www.instagram.com/polytech_armenia/,https://www.linkedin.com/company/national-polytechnic-university-of-armenia/,Հայաստանի ազգային պոլիտեխնիկական համալսարան,Հայաստանի ազգային պոլիտեխնիկական համալսարան,Հայաստանի ազգային պոլիտեխնիկական համալսարան,"Gyumri, Vanadzor, Goris and Kapan",https://www.4icu.org//i/screenshots/83.jpg,Department of Chemical Technologies and Environmental Engineering | Department of Electrical Engineering | Department of Machine Building | Department of Mining and Metallurgy | Department of Cybernetics | Department of Power Engineering | Department of Radio Engineering and Communication Systems | Department of Computer Systems and Informatics | Department of Transportation Systems | Department of Applied Mathematics | Department of Mechanics and Machine Study | Department of Social Sciences and Languages | Department of Correspondence Education,https://twitter.com/PolytechArmenia,https://www.4icu.org//i/logos-seals/83.png,National Polytechnic University of Armenia,https://www.4icu.org/reviews/83.htm,https://en.wikipedia.org/wiki/National_Polytechnic_University_of_Armenia,7651,https://www.youtube.com/channel/UCLpYUxE8OtdMUBUkXVKWydA
Semesters,Not reported,"1,000-1,499",YSMU,"2, Koryun Street Yerevan  0025 Yerevan Armenia",Koryun Street 2 Yerevan 0025 (10) 560 594,70-80%,Urban,Not reported,Public,Not reported,Non-Profit,+374 (10) 582 532,Yes,1920,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"7,000-7,999",Yes,+374 (10) 581 802,"Armenia

",7,https://www.facebook.com/ysmuofficial/,https://www.4icu.org//i/flags/Armenia.png,https://www.instagram.com/ysmu_official/,https://www.linkedin.com/company/yerevan-state-medical-university-after-m.-heratsi/,Երևանի Մխիթար Հերացու անվան պետական բժշկական,Երևանի Մխիթար Հերացու անվան պետական բժշկական,Երևանի Մխիթար Հերացու անվան պետական բժշկական,,https://www.4icu.org//i/screenshots/85.jpg,Department of General Medicine | Department of Stomatology | Department of Pharmacy | Department of Public Health | Department of Military Medicine,https://twitter.com/ysmu,https://www.4icu.org//i/logos-seals/85.png,Yerevan State Medical University,https://www.4icu.org/reviews/85.htm,https://en.wikipedia.org/wiki/Yerevan_State_Medical_University,6879,https://www.youtube.com/channel/UCSLkDqWwYV8Xh_2nYYxchjQ
Semesters,Not reported,800-899,ACU,40 Edward Street North Sydney  2059 New South Wales Australia,40 Edward Street North Sydney 2060 (0)2 9739 2437,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+61 (0)2 9739 2001,Yes,1991,Not reported,Not reported,,Yes,,Qualify for life,Christian-Catholic,"Yes, based on students' past academic record and grades",Yes,"30,000-34,999",Yes,+61 (0)2 9739 2437,"Australia

",29,https://www.facebook.com/Australian.Catholic.University/,https://www.4icu.org//i/flags/Australia.png,https://www.instagram.com/acuimages/,https://www.linkedin.com/school/australian-catholic-university/,Australian Catholic University,Australian Catholic University,Australian Catholic University,"Ballarat, Brisbane, Canberra, Melbourne, Strathfield, Adelaide and Rome",https://www.4icu.org//i/screenshots/88.jpg,Department of Arts and Sciences | Department of Education | Department of Health Sciences,https://twitter.com/ACUmedia,https://www.4icu.org//i/logos-seals/88.png,Australian Catholic University,https://www.4icu.org/reviews/88.htm,https://en.wikipedia.org/wiki/Australian_Catholic_University,800,https://www.youtube.com/channel/UCkpflfg_BExqNWRTycqNwEg
Semesters,Not reported,"1,500-1,999",ANU,"Ellery Crescent, Acton Canberra  0200 Australian Capital Territory Australia",Pauline Griffin Building #11 Canberra 0200 (0)2 6125 5594 1800 620 032,Not reported,Suburban,Not reported,Public,Not reported,Non-Profit,+61 (0)2 6125 5931,Yes,1946,Yes,Not reported,,Yes,,Naturam Primum Cognoscere Rerum First to learn the nature of things,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"20,000-24,999",Yes,+61 (0)2 6125 5111,"Australia

",6,https://www.facebook.com/TheAustralianNationalUniversity/,https://www.4icu.org//i/flags/Australia.png,https://www.instagram.com/ourANU/,https://www.linkedin.com/school/australian-national-university/,Australian National University,Australian National University,Australian National University,,https://www.4icu.org//i/screenshots/92.jpg,College of Arts and Social Sciences | College of Asia and the Pacific | College of Business and Economics | College of Engineering and Computer Science | College of Law | College of Science | College of Medicine and Health Sciences,https://twitter.com/ANUmedia,https://www.4icu.org//i/logos-seals/92.png,Australian National University,https://www.4icu.org/reviews/92.htm,https://en.wikipedia.org/wiki/Australian_National_University,99,https://www.youtube.com/channel/UCxzvNYT-17mjYJMuDzGx7AA
Trimesters,Yes,800-899,Bond,"14 University Drive, Robina Gold Coast  4229 Queensland Australia",University Drive Robina 4229 (0)7 5595 1024,Not reported,Urban,Yes,Private,Not reported,Non-Profit,+61 (0)7 5595 1140,Yes,1987,Yes,Not reported,,Yes,,Bringing Ambition To Life,None,"Yes, based on students' past academic record and grades",Yes,"5,000-5,999",Yes,+61 (0)7 5595 1024,"Australia

",35,https://www.facebook.com/bonduniversity/,https://www.4icu.org//i/flags/Australia.png,https://www.instagram.com/bonduniversity/,https://www.linkedin.com/school/bond-university/,Bond University,Bond University,Bond University,,https://www.4icu.org//i/screenshots/96.jpg,Bond Business School | Department of Law | Department of Society and Design | Department of Health Sciences and Medicine | Bond University College,https://twitter.com/BondUniversity,https://www.4icu.org//i/logos-seals/96.png,Bond University,https://www.4icu.org/reviews/96.htm,https://en.wikipedia.org/wiki/Bond_University,1161,https://www.youtube.com/channel/UCH725jImd2u1-T4rXyu2WzA
