Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,flag_img,name,name_t,name_t_t,other_locations,screenshort,subject,uni_logo,university_name,url,wiki,world_rank
Semesters,Not reported,"1,000-1,499",BJTU,"3 Shangyuancun Xizhimenwai, Haidian District Beijing  100044 Beijing China",(10) 5168 4535,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (10) 6225 5671,Yes,1896,Yes,Not reported,,Yes,,Knowledge and Action,None,"Yes, based on entrance examinations",Not reported,"20,000-24,999",Yes,+86 (10) 5168 8312,"China

",51,https://www.4icu.org//i/flags/China.png,北京交通大学,北京交通大学,北京交通大学,,https://www.4icu.org//i/screenshots/859.jpg,"School of Electronics and Information Engineering | School of Computer and Information Technology | School of Economics and Management | School of Traffic and Transportation | School of Civil Engineering and Architecture | School of Mechanical, Electronic and Control Engineering | School of Electrical and Information Engineering | School of Science | School of Humanities and Social Sciences | School of Software engineering | Graduate School",https://www.4icu.org//i/logos-seals/859.png,Beijing Jiaotong University,https://www.4icu.org/reviews/859.htm,https://en.wikipedia.org/wiki/Beijing_Jiaotong_University,2195
Semesters,Not reported,"4,000-4,499",PKU,"5 Yiheyuan Road, Haidian District Beijing  100871 Beijing China",(10) 6275 1230,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (10) 6275 1240,Yes,1898,Not reported,Not reported,,Yes,,"Diligence, Rigorousness, Pragmatism, Innovation",None,"Yes, based on entrance examinations",Yes,"35,000-39,999",Not reported,+86 (10) 6275 1246,"China

",2,https://www.4icu.org//i/flags/China.png,北京大学,北京大学,北京大学,,https://www.4icu.org//i/screenshots/866.jpg,School of Mathematical Sciences | School of Physics | College of Chemistry | School of Life Sciences | College of Urban and Environmental Sciences | School of Earth and Space Sciences | Department of Psychology | School of Electronics Engineering and Computer Science | College of Engineering | Institute of Computer Science and Technology | School of Software and Microelectronics | College of Environmental Sciences and Engineering | Department of Chinese Language and Literature | Department of History | School of Archaeology and Museology | Department of Philosophy | School of Foreign Languages | School of Arts | School of Chinese as a Second Language | School of International Studies | School of Economics | Guanghua School of Management | Law School | Department of Information Management | Department of Sociology | School of Government | School of Marxism | Graduate School of Education | School of Journalism and Communication | Institute of Population Research | China Center for Economic Research | Department of Physical Education | Yuanpei School | Institute of Molecular Medicine | ShenZhen Graduate School,https://www.4icu.org//i/logos-seals/866.png,Peking University,https://www.4icu.org/reviews/866.htm,https://en.wikipedia.org/wiki/Peking_University,143
Continuous,Not reported,"1,500-1,999",RUC,"59 Zhongguancun Street, Haidian District Beijing  100872 Beijing China",(10) 6251 1588,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (10) 6251 5329,Yes,1937,Not reported,Not reported,,Yes,,Seek Truth from Facts,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Not reported,+86 (10) 6251 1132,"China

",9,https://www.4icu.org//i/flags/China.png,中国人民大学,中国人民大学,中国人民大学,,https://www.4icu.org//i/screenshots/873.jpg,School of Agricultural Economics and Rural Development | School of Business | School of Continuing Education | School of Economics | School of Environment and Natural Resources | School of Finance | School of Foreign Languages | School of History | School of Information | School of Information Resource Management | School of International Studies | School of Journalism | School of Labor and Human Resources | School of Law | School of Literary Studies | School of Marxism Studies | School of Teaching Chinese as Foreign Language | School of Philosophy | School of Public Administration | School of Statistics | School of Sociology and Population Studies | School of Arts | Institute of Qing History | Department of Physics | Department of Chemistry | School of Education and Training,https://www.4icu.org//i/logos-seals/873.png,Renmin University of China,https://www.4icu.org/reviews/873.htm,https://en.wikipedia.org/wiki/Renmin_University_of_China,392
Semesters,Yes,"1,000-1,499",SISU,550 Dalian Road (W) Shanghai  200083 Shanghai China,550 Dalian Road (W) Shanghai 200083 (21) 5538 6006,Not reported,Urban,Yes,Public,Yes,Non-Profit,+86 (21) 3537 2000,Yes,1949,Yes,Not reported,,Yes,,"Integrity, Vision, Academic excellence",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+86 (21) 3537 2000,"China

",68,https://www.4icu.org//i/flags/China.png,上海外国语大学,上海外国语大学,上海外国语大学,,https://www.4icu.org//i/screenshots/886.jpg,School of Asian and African Studies | School of Business and Management | School of Chinese Studies and Exchange | School of Economics and Finance | School of Education | School of English Studies | School of European and Latin American Studies | School of French and Francophone Studies | School of German Studies | School of International Relations and Public Affairs | Graduate Institute of Interpretation and Translation | School of Japanese Studies | School of Journalism and Communication | School of Law | School of Russian and Eurasian Studies | Middle East Studies Institute | Institute of Linguistics | Institute of Literary Studies | Institute for the History of Global Civilization | Intercultural Institute | Shanghai Academy of Global Governance and Area Studies,https://www.4icu.org//i/logos-seals/886.png,Shanghai International Studies University,https://www.4icu.org/reviews/886.htm,https://en.wikipedia.org/wiki/Shanghai_International_Studies_University,2512
Semesters,Not reported,"1,000-1,499",SJTU,"800 Dongchuan Road, Minhang Shanghai  200240 Shanghai China","800 Dongchuan Road, Minhang Shanghai 200240 (21) 6293 2276 (21) 34205156",Not available,Suburban,Not reported,Public,Not reported,Non-Profit,+86 (21) 6282 9514,Yes,1896,Not reported,Not reported,,Yes,,Gratitude and Responsibility,None,"Yes, based on entrance examinations",Yes,"35,000-39,999",Yes,+86 (21) 6293 2414,"China

",3,https://www.4icu.org//i/flags/China.png,上海交通大学,上海交通大学,上海交通大学,,https://www.4icu.org//i/screenshots/887.jpg,"School of Naval Architecture, Ocean and Civil Engineering | School of Mechanical Engineering | School of Electronic, Information and Electrical Engineering | School of Materials Science and Engineering | School of Life Science and biotechnology | School of Humanities | School of Chemistry and Chemical Technology | School of Economics and Management | School of International and Public Affairs | School of Foreign Languages | School of Agriculture and Biology | School of Environmental Science and Engineering | School of Pharmaceutics | School of Medical | School of Law | School of Media and Design | School of Micro-electronics | School of Information Security Engineering | School of Software Engineering | Graduate School",https://www.4icu.org//i/logos-seals/887.png,Shanghai Jiao Tong University,https://www.4icu.org/reviews/887.htm,https://en.wikipedia.org/wiki/Shanghai_Jiao_Tong_University,194
Not reported,Not reported,Not reported,SGU,"Da Xue Lu, Zhenjiang Shaoguan  512005 Guangdong China",,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,+86 (751) 812 0025,Not reported,1958,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"25,000-29,999",Not reported,+86 (751) 812 0021,"China

",420,https://www.4icu.org//i/flags/China.png,韶关学院,韶关学院,韶关学院,,https://www.4icu.org//i/screenshots/909.jpg,College of Liberal Arts | College of Foreign Languages and Literatures | College of Economic Management | Yingdong College of Bioengineering | College of Information Engineering | College of Chemical and Environmental Engineering | College of Physical Education | Department of Mathematics | Department of Law | Department of Politics and Public Administration | Department of Tourism | Department of Fine Arts | Department of Music | Department of Education | Department of Social Studies | Department of Educational Technology | College of Medicine | Shaozhou Normal College,https://www.4icu.org//i/logos-seals/909.png,Shaoguan University,https://www.4icu.org/reviews/909.htm,https://zh.wikipedia.org/wiki/%E9%9F%B6%E5%85%B3%E5%AD%A6%E9%99%A2,7616
Semesters,Not reported,"1,500-1,999",SUT,"111 West Shenliao Road, Shenyang Economic-technological Area Shenyang  110870 Liaoning China","Mailbox 79, 1 South Thirteen Road, Tiexi District Shenyang 110023 (24) 2569 1091",50-60%,Suburban,Not reported,Public,Not reported,Non-Profit,+86 (24) 2549 6288,Yes,1949,Yes,Not reported,,Yes,,Strengthening oneself and behaving sincerely,None,"Yes, based on students' past academic record and grades",Yes,"30,000-34,999",Yes,+86 (24) 2549 6111,"China

",386,https://www.4icu.org//i/flags/China.png,沈阳工业大学,沈阳工业大学,沈阳工业大学,Liaoyang,https://www.4icu.org//i/screenshots/912.jpg,School of Mechanical Engineering | School of Material Science and Engineering | School of Electrical Engineering | School of Information Science and Engineering | School of Architectural Engineering | School of Basic Sciences | School of New Energy Resource Engineering | School of Management | School of Economics | School of Humanities and Law | School of Foreign Languages | School of Petro-chemical Engineering,https://www.4icu.org//i/logos-seals/912.png,Shenyang University of Technology,https://www.4icu.org/reviews/912.htm,https://en.wikipedia.org/wiki/Shenyang_University_of_Technology,7159
Semesters,Not reported,"2,000-2,499",SCNU,"55, Zhongshan Avenue West, Tianhe District Guangzhou  510631 Guangdong China","Foreign Affairs Office, South China Normal University Guangzhou 510631 (20) 8521 5350 (20) 85210057",70-80%,Urban,Not reported,Public,Yes,Non-Profit,+86 (20) 8521 2131,Yes,1933,Yes,Not reported,,Yes,,Foster the spirit of working hard; Pursue studies with utmost rigour; Seek truth from facts to blaze new trails; be a model of virtue for others,None,"Yes, based on students' past academic record and grades",Yes,"35,000-39,999",Yes,+86 (20) 8521 1065,"China

",55,https://www.4icu.org//i/flags/China.png,华南师范大学,华南师范大学,华南师范大学,,https://www.4icu.org//i/screenshots/921.jpg,School of Politics and Administration | School of Public Administration | School of Economics and Management | School of Law | School of Chinese Language and Literature | School of Foreign Studies | School of Educational Information Technology | School of Geography | Department of Tourism Management | College of International Culture | Nanhai College | School of Music | School of Fine Arts | School of Educational Science | School of Mathematics | School of Physics and Telecommunication Engineering | School of Chemistry and Environment | School of Computer Science | School of Life Science | School of Information and Optoelectronic Science and Engineering | School of Physical Education and Sports Science | Biophotonic Research Institute | Materials Research Institute,https://www.4icu.org//i/logos-seals/921.png,South China Normal University,https://www.4icu.org/reviews/921.htm,https://en.wikipedia.org/wiki/South_China_Normal_University,2295
Semesters,Not reported,"2,500-2,999",THU,"30 Shuang Qing Road, Haidian District Beijing  100084 Beijing China",(10) 6278 4857,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (10) 6278 9392,Yes,1911,Not reported,Not reported,,Yes,,Self-Discipline and Social Commitment,None,Not reported,Yes,"30,000-34,999",Not reported,+86 (10) 6278 3769,"China

",1,https://www.4icu.org//i/flags/China.png,清华大学,清华大学,清华大学,,https://www.4icu.org//i/screenshots/942.jpg,School of Architecture | School of Civil Engineering | School of Mechanical Engineering | School of Aerospace | School of Information Science and Technology | Department of Environmental Science and Engineering | Department of Electrical Engineering | Department of Engineering Physics | Department of Chemical Engineering | Department of Materials Science and Engineering | School of Sciences | School of Marxism | School of Humanities and Social Sciences | School of Economics and Management | School of Public Policy and Management | School of law | Academy of Arts and Design | School of Medicine | School of Journalism and Communication | Institute of Nuclear and New Energy Technology | Department of Physical Education,https://www.4icu.org//i/logos-seals/942.png,Tsinghua University,https://www.4icu.org/reviews/942.htm,https://en.wikipedia.org/wiki/Tsinghua_University,133
Semesters,Yes,"2,000-2,499",UESTC,"No. 2006, Xiyuan Ave, West Hi-Tech Zone Chengdu  611731 Sichuan China","A2-105, Main Building, No.2006, Xiyuan Ave, West Hi-Tech Zone, Chengdu 611731 (28) 6183 1638 (28) 6183 1730",0-10%,Urban,Yes,Public,Not reported,Non-Profit,+86 (28) 6183 1637,Yes,1956,Yes,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"30,000-34,999",Yes,+86 (28) 6183 1638,"China

",73,https://www.4icu.org//i/flags/China.png,电子科技大学,电子科技大学,电子科技大学,,https://www.4icu.org//i/screenshots/943.jpg,"School of Information and Communication Engineering | School of Electronic Science and Engineering | School of Materials and Energy | School of Mechanical and Electrical Engineering | School of Optoelectronic Science and Engineering | School of Automation Engineering | School of Resources and Environment | School of Computer Science and Engineering | School of Information and Software Engineering | School of Aeronautics and Astronautics | School of Mathematical Sciences | School of Physics | School of Life Science and Technology | School of Management and Economics | School of Public Affairs and Administration | School of Foreign Languages | School of Marxism | Glasgow College, UESTC | Institute of Fundamental and Frontier Sciences | School of Medicine",https://www.4icu.org//i/logos-seals/943.png,University of Electronic Science and Technology of China,https://www.4icu.org/reviews/943.htm,https://en.wikipedia.org/wiki/University_of_Electronic_Science_and_Technology_of_China,2646
Not reported,Not reported,"1,500-1,999",CTGU,"8 Daxue Road, Xiling District Yichang  443000 Hubei China",,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+86 (717) 645 4495,Yes,2000,Not reported,Not reported,,Yes,,,None,Not reported,Yes,"20,000-24,999",Yes,+86 (717) 646 1202,"China

",312,https://www.4icu.org//i/flags/China.png,三峡大学,三峡大学,三峡大学,,https://www.4icu.org//i/screenshots/944.jpg,College of Hydraulic and Environmental Engineering | College of Civil Engineering and Architecture | College of Mechanical and Power Engineering | College of Materials and Chemical Engineering | College of Electrical Engineering and New Energy | College of Computer and Information Technology | College of Economics and Management | College of Medical Science | College of Art and Communication | College of Marxism | College of Law and Public Administration | College of Science | College of Chemistry and Life Science | College of Performing and Fine Arts | College of Foreign Languages | College of Physical Education | College of Adult Education | College of Minor Nation | College of International Communications | College of Nursing Science | College of Vocational Technology | College of Modern Education Technology | College of Teacher Training | College of Clinical Science,https://www.4icu.org//i/logos-seals/944.png,China Three Gorges University,https://www.4icu.org/reviews/944.htm,https://en.wikipedia.org/wiki/China_Three_Gorges_University,6128
Semesters,Not reported,"2,500-2,999",XAUAT,13 Yanta Road Xi'an  710055 Shaanxi China,No.13 Xi'an Yanta Road Xi'an 710055 (29) 8220 2169,90-100%,Urban,Not reported,Public,Yes,Non-Profit,+86 (29) 222 4571,Yes,1956,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"30,000-34,999",Yes,+86 (29) 220 2169,"China

",144,https://www.4icu.org//i/flags/China.png,西安建筑科技大学,西安建筑科技大学,西安建筑科技大学,,https://www.4icu.org//i/screenshots/961.jpg,"College of Architecture | School of Civil Engineering | School of Environmental and Municipal Engineering | School of Management | School of Information and Control Engineering | School of Mechanical and Electrical Engineering | School of Metallurgical Engineering | School of Materials Science and Engineering | School of Science | School of Language, Literature and Law | College of Arts | School for Teaching and Research of Ideological and Political Theories | Department of Physical Education | College of Vocational Technology",https://www.4icu.org//i/logos-seals/961.png,Xi'an University of Architecture and Technology,https://www.4icu.org/reviews/961.htm,https://en.wikipedia.org/wiki/Xi%27an_University_of_Architecture_and_Technology,4135
Semesters,Not reported,Not reported,XJTU,28 Xianning Road Xi'an  710049 Shaanxi China,,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (29) 323 4716,Not reported,1896,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"30,000-34,999",Yes,+86 (29) 266 8830,"China

",22,https://www.4icu.org//i/flags/China.png,西安交通大学,西安交通大学,西安交通大学,,https://www.4icu.org//i/screenshots/960.jpg,School of Energy and Power Engineering | School of Humanities and Social Sciences | School of Science | School of Electronic and Information Engineering | School of Mechanical Engineering | Vocational and Technical and Continuous Education Institute | School of Foreign Language | School of Life Science and Technology | School of Aeronautics and Aerospace | Sports Department | School of Stomatology | School of Law | School of Software | School of Material Science and Engineering | School of Management | Department of Architecture | School of Electrical Engineering | School of Architectural Engineering and Mechanics | School of Economics and Finance | Internet Education School | School of Medicine | School of Aerospace | School of Human Settlement and Civil Engineering,https://www.4icu.org//i/logos-seals/960.png,Xi'an Jiaotong University,https://www.4icu.org/reviews/960.htm,https://en.wikipedia.org/wiki/Xi%27an_Jiaotong_University,1051
Not reported,Not reported,Not reported,XAUT,"19 Xianning W Road, Beilin Xi'an  710048 Shaanxi China",,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,+86 (29) 231 2558,Not reported,1949,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"15,000-19,999",Yes,+86 (29) 231 2558,"China

",151,https://www.4icu.org//i/flags/China.png,西安理工大学,西安理工大学,西安理工大学,,https://www.4icu.org//i/screenshots/963.jpg,Department of Mechanical and Precision Instrument Engineering | Department of Water Resources and Hydroelectric Engineering | Department of Economics and Management | Department of Humanities and Foreign Languages | Department of Civil Engineering and Architecture | Department of Further Education | Department of Materials Science and Engineering | Department of Automation and Information Engineering | Department of Printing and Packaging Engineering | Department of Sciences | Department of Computer Science and Engineering | Department of Art and Design | Department of Higher Vocational and Technical Education,https://www.4icu.org//i/logos-seals/963.png,Xi'an University of Technology,https://www.4icu.org/reviews/963.htm,https://zh.wikipedia.org/wiki/%E8%A5%BF%E5%AE%89%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6,4207
Continuous,Not reported,Not reported,ZQU,"Xinghu Avenue, Duanzhou Zhaoqing  526061 Guangdong China",,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,+86 (758) 271 6969,Not reported,1970,Not reported,Not reported,,Yes,,,None,Not reported,Not reported,"10,000-14,999",Yes,+86 (758) 271 6390,"China

",549,https://www.4icu.org//i/flags/China.png,肇庆学院,肇庆学院,肇庆学院,,https://www.4icu.org//i/screenshots/967.jpg,Department of Foreign Languages | Department of Politics and Law | Department of Economics and Management | Department of Pedagogy | Department of Mathematics and Information Sciences | Department of Computer Science and Software | Department of Chemistry and Chemical Engineering | Department of Life Sciences | Department of Electronic Information Mechanical and Electrical Engineering | Department of Physical Education and Health | Department of Fine Arts | Department of Music | Department of Tourism | Department of Chinese Language and Literature | Department of Continuing Education,https://www.4icu.org//i/logos-seals/967.png,Zhaoqing University,https://www.4icu.org/reviews/967.htm,https://en.wikipedia.org/wiki/Zhaoqing_University,9075
Semesters,Not reported,Not reported,ZJU,"38 Zheda Road, Xihu Hangzhou  310027 Zhejiang China",,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+86 (571) 8795 1358,Yes,1897,Not reported,Not reported,,Yes,,Truth and Innovation,None,"Yes, based on entrance examinations",Yes,"40,000-44,999",Yes,+86 (571) 8795 1020,"China

",5,https://www.4icu.org//i/flags/China.png,浙江大学,浙江大学,浙江大学,,https://www.4icu.org//i/screenshots/983.jpg,Chu Kochen Honors College | College of Economics | Guanghua Law School | College of Education | College of Humanities | School of International Studies | College of Science | College of Life Sciences | College of Mechanical and Energy Engineering | College of Materials Science and Chemical Engineering | College of Electrical Engineering | College of Information Science and Engineering | College of Media and International Cultures | School of Aeronautics and Astronautics | College of Computer Science | College of Software Technology | College of Civil Engineering and Architecture | College of Biosystem Engineering and Food Science | College of Environmental and Resource Sciences | College of Biomedical Engineering and Instrument Science | College of Agriculture and Biotechnology | College of Animal Sciences | School of Medicine | College of Pharmaceutical Sciences | College of Management | College of Public Administration | Chu Kochen Honors College | College of Economics | Guanghua Law School | College of Education | College of Humanities | School of International Studies | College of Science | College of Life Sciences | College of Mechanical and Energy Engineering | College of Materials Science and Chemical Engineering | College of Electrical Engineering | College of Information Science and Engineering | College of Media and International Cultures | School of Aeronautics and Astronautics | College of Computer Science | College of Software Technology | College of Civil Engineering and Architecture | College of Biosystem Engineering and Food Science | College of Environmental and Resource Sciences | College of Biomedical Engineering and Instrument Science | College of Agriculture and Biotechnology | College of Animal Sciences | School of Medicine | College of Pharmaceutical Sciences | College of Management | College of Public Administration,https://www.4icu.org//i/logos-seals/983.png,Zhejiang University,https://www.4icu.org/reviews/983.htm,https://en.wikipedia.org/wiki/Zhejiang_University,290
Semesters,Not reported,"2,000-2,499",ZUEL,"1 South Nanhu Road, Hongshan Wuhan  430073 Hubei China","1 South Nanhu Road, Hongshan Wuhan 430073 (27) 8838 6557",40-50%,Suburban,Not reported,Public,Yes,Non-Profit,+86 (27) 8838 6240,Yes,1948,Yes,Not reported,,Yes,,"Learned, Rational, Virtuous, Devoted",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"25,000-29,999",Yes,+86 (27) 8838 6947,"China

",227,https://www.4icu.org//i/flags/China.png,中南财经政法大学,中南财经政法大学,中南财经政法大学,,https://www.4icu.org//i/screenshots/989.jpg,School of Humanities | School of Economics | School of Finance and Taxation | Xinhua School of Finance and Insurance | School of Law | School of Criminal Justice | School of Foreign Languages | School of Journalism and Mass Media | School of Business Administration | School of Accounting | School of Public Administration | School of Statistics and Mathematics | School of Safety Science and Administration,https://www.4icu.org//i/logos-seals/989.png,Zhongnan University of Economics and Law,https://www.4icu.org/reviews/989.htm,https://en.wikipedia.org/wiki/Zhongnan_University_of_Economics_and_Law,5255
Semesters,Yes,400-499,UDI,"Barrio Ambalá, Carrera 22, Calle 67 Ibague  472 Tolima Colombia","Barrio Ambalá, Carrera 22, Calle 67 Ibague 472 (8) 276 0010 Ext 3650 - 3651 (8) 276 0010",70-80%,Suburban,Not reported,Private,Not reported,Non-Profit,+57 (8) 276 0010,Yes,1981,Yes,Not reported,,Yes,,Comprometidos con el desarrollo regional Committed with regional development,None,"Yes, based on students' past academic record and grades",Yes,"5,000-5,999",Yes,+57 (8) 276 0010,"Colombia

",94,https://www.4icu.org//i/flags/Colombia.png,University of Ibagué,University of Ibagué,University of Ibagué,,https://www.4icu.org//i/screenshots/995.jpg,Department of Engineering | Department of Humanities | Department of Administrative Sciences | Department of Law,https://www.4icu.org//i/logos-seals/995.png,Universidad de Ibagué,https://www.4icu.org/reviews/995.htm,https://en.wikipedia.org/wiki/University_of_Ibagu%C3%A9,7102
Semesters,Yes,300-399,IUE,Carrera 27B No. 39 A Sur - 57 Envigado   Antioquia Colombia,movilidad@iue.edu.co Envigado  (4) 339 1010 ext 1419,Not available,Suburban,Not reported,Public,Not reported,Non-Profit,+57 (4) 333 0148,Yes,1993,Not reported,Not reported,,Yes,,Proyecto social de alta calidad High Quality social project,None,"Yes, based on entrance examinations",Yes,"4,000-4,999",Yes,+57 (4) 339 1010,"Colombia

",48,https://www.4icu.org//i/flags/Colombia.png,University Institute of Envigado,University Institute of Envigado,University Institute of Envigado,"Envigado, Sabaneta, Estrella, Caldas",https://www.4icu.org//i/screenshots/1005.jpg,Department of Social Sciencies | Department of Political Sciences and Law | Department of Engineering | Department of Administrative Sciences,https://www.4icu.org//i/logos-seals/1005.png,Institución Universitaria de Envigado,https://www.4icu.org/reviews/1005.htm,https://es.wikipedia.org/wiki/Instituci%C3%B3n_Universitaria_de_Envigado,4435
Semesters,Not reported,600-699,IUPG,Calle 57 No. 3-00 Este Bogotá   Bogota Colombia,Calle 57 # 3 - 00 Este Bogota  (1) 346 8800,Not reported,Rural,Not reported,Private,Yes,Non-Profit,+57 (1) 346 9256,Not reported,1980,Not reported,Not reported,,Yes,,"Aquí no sólo aprendes, aquí cambias tu vida Here no just you learn, here you change your life",None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+57 (1) 346 8800,"Colombia

",31,https://www.4icu.org//i/flags/Colombia.png,Grancolombiano Polytechnic,Grancolombiano Polytechnic,Grancolombiano Polytechnic,,https://www.4icu.org//i/screenshots/1007.jpg,"Department of Administrative, Economic and Accounting Sciences | Department of Social Sciences | Department of Marketing, Communication and Arts | Department of Engineering and Basic Sciences",https://www.4icu.org//i/logos-seals/1007.png,Politécnico Grancolombiano,https://www.4icu.org/reviews/1007.htm,https://en.wikipedia.org/wiki/Polit%C3%A9cnico_Grancolombiano,3253
Semesters,Yes,"3,500-3,999",PUJ,Carrera 7 No. 40-62 Bogotá  11001000 Bogota Colombia,"Carrera 7 No. 40-62, Building Emilio Arango S.J, 2nd Floor, office 225 Bogotá  (1) 320 8320 Ext. 2054",50-60%,Urban,Yes,Private,Yes,Non-Profit,+57 (1) 285 3348,Yes,1623,Not reported,Not reported,,Yes,,Sapientia Aedificavit sibi Domum Wisdom has built herself a home,Christian-Catholic Jesuit - www.jesuit.org,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"25,000-29,999",Yes,+57 (1) 320 8320,"Colombia

",3,https://www.4icu.org//i/flags/Colombia.png,Pontifical Javeriana University,Pontifical Javeriana University,Pontifical Javeriana University,Cali,https://www.4icu.org//i/screenshots/1008.jpg,Department of Architecture and design | Department of Arts | Department of Science | Department of Legal Sciences | Department of Economic and Administrative Sciences | Department of Political Science and International Relations | Department of Social Sciences | Department of Communication and Language | Department of Canon Law | Department of Education | Department of Nursing | Department of Environmental and Rural Studies | Department of Philosophy | Department of Engineering | Department of Medicine | Department of Dentistry | Department of Psychology | Department of Theology,https://www.4icu.org//i/logos-seals/1008.png,Pontificia Universidad Javeriana,https://www.4icu.org/reviews/1008.htm,https://en.wikipedia.org/wiki/Pontifical_Xavierian_University,839
Semesters,Not reported,500-599,UNAB,Calle 48 39-234 Bucaramanga  680003 Santander Colombia,Avenida 42 No. 48-11 Bucaramanga 680003 (7) 657 1800 127395,50-60%,Urban,Not reported,Private,Yes,Non-Profit,+57 (7) 643 3958,Yes,1956,Not reported,Not reported,,Yes,,Soy Autónomo I'm Autonomous,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+57 (7) 643 6111,"Colombia

",32,https://www.4icu.org//i/flags/Colombia.png,Autonomous University of Bucaramanga,Autonomous University of Bucaramanga,Autonomous University of Bucaramanga,"San GIl, Armenia, Yopal",https://www.4icu.org//i/screenshots/1012.jpg,Department of Management | Department of Education | Department of Laws | Department of Health Sciences | Department of Systems Engineering | Department of Economics and Accounting Sciences | Department of Physical- Mechanical Engineering | Department of Audiovisual Arts and Communications | Department of Music | Department of Technical and Technological Studies,https://www.4icu.org//i/logos-seals/1012.png,Universidad Autónoma de Bucaramanga,https://www.4icu.org/reviews/1012.htm,https://en.wikipedia.org/wiki/Autonomous_University_of_Bucaramanga,3354
Semesters,Not reported,100-199,Bellas Artes,Avenida 2 Norte No. 7N-66 Cali  760045 Valle del Cauca Colombia,Avenida 2 Norte No. 7N - 66 Barrio Centenario Cali 760045 (2) 620 3333,20-30%,Urban,Not reported,Public,Not reported,Non-Profit,+57 (2) 668 5583,Yes,1936,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,500-999,Yes,+57 (2) 620 3333,"Colombia

",154,https://www.4icu.org//i/flags/Colombia.png,Departmental Institute of Fine Arts,Departmental Institute of Fine Arts,Departmental Institute of Fine Arts,,https://www.4icu.org//i/screenshots/1017.jpg,Department of Performing Arts | Department of Music - Conservatorio Antonio Maria Valencia | Department of Visual and Applied Arts,https://www.4icu.org//i/logos-seals/1017.png,Instituto Departamental de Bellas Artes,https://www.4icu.org/reviews/1017.htm,/about/err.htm,10241
